Codigo do Hospede; 1
 Nome do Hospede; Pedro Daniel Camargos Soares
Email; pedrodanielcamargos.pd@gmail.com
Sexo; Masculino
Estado Civil; Solteiro
Rua; Rua Eliza Gomes
Numero; 174
Bairro; Sagrado Coracao de Jesus
Cidade; Formiga
Estado; MG
CPF; 13456798077
Telefone do Hospede; 33988919758
Data de Nascimento; 18/02/1998

Codigo do Hospede; 2
 Nome do Hospede; Lucas Gabriel
Email; lucas@hotmail.com
Sexo; Masculino
Estado Civil; Solteiro
Rua; Rua principal
Numero; 334
Bairro; Centro
Cidade; Candeias
Estado; MG
CPF; 32145678905
Telefone do Hospede; 37991754312
Data de Nascimento; 15

Codigo do Hospede; 3
 Nome do Hospede; Tainara Camargos
Email; taine@hotmail.com
Sexo; Feminino
Estado Civil; Solteira
Rua; Av papagaio
Numero; 2208
Bairro; Centro
Cidade; Formiga
Estado; MG
CPF; 05143575765
Telefone do Hospede; 33779909552
Data de Nascimento; 03/12/2000

Codigo do Hospede; 4
 Nome do Hospede; Diego Paladino
Email; diego@gmail.com
Sexo; Masculino
Estado Civil; Casado
Rua; Av deidara
Numero; 456
Bairro; Vila Nova
Cidade; Belo Horizonte
Estado; MG
CPF; 19738618345
Telefone do Hospede; 21987635358
Data de Nascimento; 19/95/1998

Codigo do Hospede; 5
 Nome do Hospede; Juao Paulo
Email; jpmm@bol.com
Sexo; Masculino
Estado Civil; Solteiro
Rua; Rua das Alternativas
Numero; 456c
Bairro; Beira Rio
Cidade; Santos
Estado; SP
CPF; 11198467803
Telefone do Hospede; 31987654321
Data de Nascimento; 01/01/1990

Codigo do Hospede; 6
 Nome do Hospede; Paulo Vieira
Email; pv@gmail.com
Sexo; Masculino
Estado Civil; Casado
Rua; Zona Rural
Numero; Zona Rural
Bairro; Betim
Cidade; Zona Rural
Estado; MG
CPF; 13245609823
Telefone do Hospede; 33976564333
Data de Nascimento; 12/12/2000

Codigo do Hospede; 7
 Nome do Hospede; Maria Aparecida Soares
Email; mariaapa@bol.com
Sexo; Feminino
Estado Civil; Viuva
Rua; Rua Malacacheta
Numero; 458
Bairro; Bela Vista
Cidade; Angelandia
Estado; MG
CPF; 23434545656
Telefone do Hospede; 33988645327
Data de Nascimento; 02/04/1973

Codigo do Hospede; 8
 Nome do Hospede; Tiago Duarte Augusto
Email; tiagoduarte@gmail.com
Sexo; Masculino
Estado Civil; Solteiro
Rua; Rua do desespero
Numero; 112
Bairro; Planalto
Cidade; Belo Horizonte
Estado; MG
CPF; 23434563499
Telefone do Hospede; 21987653421
Data de Nascimento; 12/12/1996

Codigo do Hospede; 9
 Nome do Hospede; Berto Brandao
Email; brandaoberto@outlook.com
Sexo; Trans
Estado Civil; Solteiro
Rua; Avenida Simples
Numero; 234
Bairro; Centro
Cidade; Divinopolis
Estado; MG
CPF; 23457609823
Telefone do Hospede; 37987645312
Data de Nascimento; 11/11/1999

Codigo do Hospede; 10
 Nome do Hospede; Pedro Daniel DCS
Email; pedrodaniel@hotmail.com
Sexo; Masculino
Estado Civil; Solteiro
Rua; Rua Malacacheta
Numero; 458
Bairro; Centro
Cidade; Angelandia
Estado; MG
CPF; 13247566654
Telefone do Hospede; 33988919777
Data de Nascimento; 18/02/1996

Codigo do Hospede; 11
 Nome do Hospede; Fernando
Email; fer.nads@bol.com
Sexo; Trans
Estado Civil; Solteiro
Rua; Rua da Rosca
Numero; 69
Bairro; Centro
Cidade; Virginopolis
Estado; MG
CPF; 13245345689
Telefone do Hospede; 33987699658
Data de Nascimento; 24/11/1993

Codigo do Hospede; 12
 Nome do Hospede; Pedro Daniel Soares
Email; pedrodanielcamargos@hotmail.com
Sexo; Masculino
Estado Civil; Solteiro
Rua; Rua Malacacheta
Numero; 458
Bairro; Perto do Comercial ABC
Cidade; Bela Vista
Estado; Angelandia
CPF; MG
Telefone do Hospede; 39685000
Data de Nascimento; 13247508635

Codigo do Hospede; 13
 Nome do Hospede; Enzo Pedro Junior
Email; pedrodaniel@hotmail.com
Sexo; Masculino
Estado Civil; Solteiro
Rua; Av Malacacheta
Numero; 408
Bairro; Centro
Cidade; Angelandia
Estado; MG
CPF; 15245505665
Telefone do Hospede; 33997919552
Data de Nascimento; 28/04/1997

